Date,Balls_1,Balls_2,Balls_3,Balls_4
01.01.22,0,17,66,76
09.01.22,0,9,51,80
16.01.22,16,26,45,48
23.01.22,3,39,41,59
30.01.22,0,51,63,70
06.02.22,1,20,32,56
13.02.22,11,37,51,90
20.02.22,0,2,48,87
27.02.22,0,0,69,71
06.03.22,16,56,65,78
13.03.22,0,0,30,66
20.03.22,0,0,53,54
27.03.22,0,0,52,69
03.04.22,0,,284,7
10.04.22,0,46,65,78
17.04.22,1,3,17,45
24.04.22,0,8,63,66
01.05.22,38,58,72,74
08.05.22,30,46,68,87
15.05.22,0,14,32,55
22.05.22,4,26,49,59
29.05.22,43,67,75,76
05.06.22,10,19,29,88
12.06.22,37,42,60,64
19.06.22,20,24,35,40
26.06.22,0,0,24,39
03.07.22,0,9,26,53
10.07.22,6,14,21,85
17.07.22,0,26,31,54
24.07.22,25,27,46,60
07.08.22,6,24,49,54
14.07.22,0,26,70,81
21.08.22,33,39,48,53
28.08.22,0,0,0,0
04.09.22,0,0,23,66
11.09.22,0,15,69,83
18.09.22,0,0,37,85
25.09.22,3,17,77,89
02.10.22,15,54,55,69
09.10.22,0,42,64,86
16.10.22,0,0,0,77
23.10.22,3,50,63,85
30.10.22,4,17,30,76
06.11.22,62,64,85,90
13.11.22,14,39,88,90
20.11.22,0,0,63,89
27.11.22,0,0,11,39
04.12.22,0,14,36,62
11.12.22,59,64,67,88
18.12.22,0,9,55,90
25.12.22,20,68,79,87
